Dataset,Fold,MAE,MedAE,R2
FEM_orbitrap_plasma,0,77.45335845947268,45.974780273437545,0.8960348923304995
FEM_orbitrap_plasma,1,78.07360280354818,57.321215820312545,0.9124824002468658
FEM_orbitrap_plasma,2,47.405101013183604,21.00152282714845,0.9567088589591501
FEM_orbitrap_plasma,3,46.40763905843099,41.10057373046874,0.9514518179329159
FEM_orbitrap_plasma,4,78.82256525213069,38.46025390625,0.8699656141537998
FEM_orbitrap_plasma,5,103.20744462446733,83.53142700195315,0.9107746796202818
FEM_orbitrap_plasma,6,62.19270296963778,38.903063964843795,0.9245350683836121
FEM_orbitrap_plasma,7,81.25287919477984,57.25247802734373,0.8584988979310175
FEM_orbitrap_plasma,8,48.9079317959872,41.20323486328125,0.9602438959618339
FEM_orbitrap_plasma,9,99.98349720348011,70.75327148437498,0.9061992960157939

FEM_orbitrap_plasma,Average,72.3707 ± 19.6054,49.5502 ± 17.1150,0.9147 ± 0.0330
