Dataset,Fold,MAE,MedAE,R2
FEM_lipids,0,120.07129842122397,94.49713134765625,0.7601820191591906
FEM_lipids,1,121.93129136827257,91.10086059570312,0.7373397801413277
FEM_lipids,2,93.68187513563367,47.14703369140625,0.8413632587493654
FEM_lipids,3,126.22443332248264,42.410947265625055,0.5708600890498905
FEM_lipids,4,122.18294474283852,124.15260986328121,0.8135378638247973
FEM_lipids,5,165.19582533094615,80.1217041015625,0.601841261093073
FEM_lipids,6,115.60515304565429,45.15442321777343,0.395028556799249
FEM_lipids,7,90.0741030883789,41.36366699218752,0.9050248546803401
FEM_lipids,8,59.13588638305664,25.191741943359375,0.930126193306503
FEM_lipids,9,45.16909622192384,17.035751342773438,0.9778493322954899

FEM_lipids,Average,105.9272 ± 33.1980,60.8176 ± 32.8190,0.7533 ± 0.1735
