Dataset,Fold,MAE,MedAE,R2
RIKEN_PlaSMA,0,17.655573830656834,10.666136098632819,0.9304331349482126
RIKEN_PlaSMA,1,19.566385566315827,12.02186572753908,0.9093371524409515
RIKEN_PlaSMA,2,20.953386448905512,11.071842041015657,0.7490284453963916
RIKEN_PlaSMA,3,21.043767262492633,11.283027080078114,0.807411179149752
RIKEN_PlaSMA,4,44.75710938946418,40.158068642578144,0.6467290719093879
RIKEN_PlaSMA,5,18.335293697026096,11.166949199218749,0.930950587660634
RIKEN_PlaSMA,6,27.20232993845814,12.687117412109387,0.6373437515421077
RIKEN_PlaSMA,7,22.880128099019753,17.019831176757833,0.9067806875900367
RIKEN_PlaSMA,8,21.82577096467792,13.743429443359389,0.9173125400424444
RIKEN_PlaSMA,9,18.464647448684403,12.563575458984388,0.8984581853263947

RIKEN_PlaSMA,Average,23.2684 ± 7.6315,15.2382 ± 8.4906,0.8334 ± 0.1107
