Dataset,Fold,MAE,MedAE,R2
MTBLS87,0,71.11381632486979,48.002685546875,0.8905213214671264
MTBLS87,1,122.10974934895833,117.611328125,0.6031107117923956
MTBLS87,2,98.79212849934896,104.31768798828125,0.5097013910380419
MTBLS87,3,72.44042561848958,32.61749267578125,0.7374098345156815
MTBLS87,4,134.0241475423177,117.713623046875,0.45484406736121163
MTBLS87,5,92.49235636393229,73.98602294921875,0.19037684407403188
MTBLS87,6,82.32720293317523,56.62371826171875,0.8463995372746504
MTBLS87,7,62.35331072126116,23.679534912109375,0.8713387469148448
MTBLS87,8,175.89686366489954,143.76129150390625,0.2607831685941002
MTBLS87,9,91.98757934570312,88.32102966308594,0.7985658565300306

MTBLS87,Average,100.3538 ± 32.9411,80.6634 ± 38.1866,0.6163 ± 0.2422
