Dataset,Fold,MAE,MedAE,R2
LIFE_old,0,13.892658407110918,11.245922241210934,0.9281159918611415
LIFE_old,1,16.403281344765116,10.780149200439453,0.9236290023953737
LIFE_old,2,20.260422371312192,17.56353369140625,0.8061427045520486
LIFE_old,3,12.667195614284937,8.955398559570312,0.7719302549533898
LIFE_old,4,13.764285296969941,10.606433898925786,0.923615852532677
LIFE_old,5,11.561269499037,6.253189239501957,0.9335676129750696
LIFE_old,6,13.253543611314562,11.553343444824222,0.8881336654899556
LIFE_old,7,22.246513224283852,14.075173431396482,0.8099791123829037
LIFE_old,8,9.147093851725263,5.855550659179684,0.9748158471157613
LIFE_old,9,12.27181751675076,10.10018008422852,0.9198097171860297

LIFE_old,Average,14.5468 ± 3.8062,10.6989 ± 3.2586,0.8880 ± 0.0641
