Dataset,Fold,MAE,MedAE,R2
MassBank2,0,19.34607578443444,13.605072631835924,0.9766578133670389
MassBank2,1,16.125016174316407,9.242554931640626,0.9691374368958746
MassBank2,2,31.06272161310369,15.754170837402338,0.7354669562765919
MassBank2,3,15.818905722878196,14.261141052246092,0.9774224511632424
MassBank2,4,14.856996557062324,8.517200012207027,0.9667643374230419
MassBank2,5,23.27273526278409,15.084109497070301,0.9043852780120051
MassBank2,6,15.871643843217326,12.4899151611328,0.9574894950922561
MassBank2,7,20.717293285023082,9.319957885742156,0.9394968805884996
MassBank2,8,13.29096199729226,11.203145446777338,0.9806327898264514
MassBank2,9,15.319742084849958,11.274631652832024,0.9652756843968777

MassBank2,Average,18.5682 ± 5.0640,12.0752 ± 2.4404,0.9373 ± 0.0707
