Dataset,Fold,MAE,MedAE,R2
MassBank1,0,24.074793276209682,19.99020896484376,0.9256505160771089
MassBank1,1,22.616202081705733,17.97997502929684,0.9260182915714713
MassBank1,2,9.496844756835944,6.440937900390679,0.9862741564821979
MassBank1,3,9.264605596028648,7.560171928710901,0.9776886044446499
MassBank1,4,7.999418863932267,5.5361153417968865,0.991449521480387
MassBank1,5,35.30889796484375,36.90576993164058,0.8219643552065827
MassBank1,6,9.502566881835937,6.194776367187501,0.9870605338310781
MassBank1,7,9.066216338541675,7.708882763671909,0.9820190875463631
MassBank1,8,8.67160595149739,6.050698017578128,0.9815357412437502
MassBank1,9,16.804193576497386,14.033219140624965,0.94501654778691

MassBank1,Average,15.2805 ± 8.7917,12.8401 ± 9.4704,0.9525 ± 0.0497
