Dataset,Fold,MAE,MedAE,R2
FEM_short,0,97.89664059799108,120.94387207031241,0.9198590165602171
FEM_short,1,115.108726077154,98.53771677796875,0.8576888837431027
FEM_short,2,147.201683277154,60.598132324218795,0.758138998266672
FEM_short,3,92.20466657366072,73.36545410156248,0.8955627004188409
FEM_short,4,152.38684232265626,130.14031644296875,0.8505899878863413
FEM_short,5,156.15385554687495,128.52385253906255,0.6767670097429407
FEM_short,6,234.58877843026787,163.10826416015624,0.42678745954340513
FEM_short,7,129.31164550781253,93.64536132812509,0.8644733147252031
FEM_short,8,52.59240425130207,36.525952148437455,0.6891488775586553
FEM_short,9,88.87648722330728,82.55690917968752,0.9250412396084436

FEM_short,Average,126.6322 ± 47.6140,98.7946 ± 35.7302,0.7864 ± 0.1469
