Dataset,Fold,MAE,MedAE,R2
MetaboBase,0,53.811689453125,35.5322998046875,0.9663627869313628
MetaboBase,1,78.71951988483296,58.86879882812491,0.9258137434958851
MetaboBase,2,64.75423441709322,46.77188720703123,0.958755706171844
MetaboBase,3,65.52826472691127,52.56972045898442,0.9729496775040017
MetaboBase,4,75.33420579310825,17.684821655273424,0.8796078921288968
MetaboBase,5,53.34503084019252,41.86624902343749,0.9847372369281299
MetaboBase,6,105.79502027239118,56.55927490234376,0.7484841368473101
MetaboBase,7,58.96736297607423,39.091418457031274,0.967643189597733
MetaboBase,8,55.22628765869141,47.660748291015636,0.9715665885353707
MetaboBase,9,69.09924943324498,76.0264678955078,0.9608439695845165

MetaboBase,Average,68.0581 ± 15.0858,47.2632 ± 14.7831,0.9337 ± 0.0682
