Dataset,Fold,MAE,MedAE,R2
Cao_HILIC,0,84.8933840880102,55.25212890624999,0.6785365187837904
Cao_HILIC,1,75.61438807896205,66.59162780761719,0.7764220903631913
Cao_HILIC,2,92.11674087213012,54.0476513671875,0.5605129683125842
Cao_HILIC,3,76.16432787836814,47.225991210937494,0.6481345857081302
Cao_HILIC,4,98.65435398101806,80.7950128173828,0.6180842287042101
Cao_HILIC,5,77.74267776489258,59.350382080078134,0.7437527498705583
Cao_HILIC,6,52.636342442830404,41.430539245605466,0.8163451333825583
Cao_HILIC,7,89.07487606684367,52.948735809326166,0.5149935981727303
Cao_HILIC,8,117.73016396204629,46.82296844482421,0.2269188115827725
Cao_HILIC,9,84.38662719726562,44.57412139892578,0.5842234519852993

Cao_HILIC,Average,84.9014 ± 16.0981,54.9039 ± 11.1530,0.6168 ± 0.1590
